iter	RMSE
0	1.912861115
1	1.899975002
2	1.887220945
3	1.874458293
4	1.860820863
5	1.848587258
6	1.835186288
7	1.823156064
8	1.810858957
9	1.798223165
10	1.786903603
11	1.77574222
12	1.763329942
13	1.751809116
14	1.740755108
15	1.729245964
16	1.71719723
17	1.706188315
18	1.694988848
19	1.685924453
20	1.675163403
21	1.666089353
22	1.654893468
23	1.6440868
24	1.633886014
25	1.62326741
26	1.612751291
27	1.602244814
28	1.591965577
29	1.581864747
30	1.572742831
31	1.562653087
32	1.552545114
33	1.543098078
34	1.533368163
35	1.524102297
36	1.51481935
37	1.50553584
38	1.496318251
39	1.487781028
40	1.478964374
41	1.470478557
42	1.461727558
43	1.452770634
44	1.4446851
45	1.436478804
46	1.428361342
47	1.419792379
48	1.411586837
49	1.40367076
50	1.396439143
51	1.388161899
52	1.380003836
53	1.373041101
54	1.365516238
55	1.357457284
56	1.350063762
57	1.342892431
58	1.335347456
59	1.328071076
60	1.320658344
61	1.31444822
62	1.307340151
63	1.300416522
64	1.293510022
65	1.286692833
66	1.28021137
67	1.273453256
68	1.266741743
69	1.260534058
70	1.254519797
71	1.248303965
72	1.24169926
73	1.23528494
74	1.228932101
75	1.223378778
76	1.216939772
77	1.211872538
78	1.205879962
79	1.200453139
80	1.194496185
81	1.188799497
82	1.183151577
83	1.178253317
84	1.172910715
85	1.167335905
86	1.161794313
87	1.156751972
88	1.152425592
89	1.147215309
90	1.142025459
91	1.13702215
92	1.132210535
93	1.127153422
94	1.121989886
95	1.117082178
96	1.112220361
97	1.10724144
98	1.102417166
99	1.098194822
100	1.094023748
101	1.089606236
102	1.085142816
103	1.080811025
104	1.076799647
105	1.072470896
106	1.068304732
107	1.064006097
108	1.059871498
109	1.056273489
110	1.052202115
111	1.048223469
112	1.044328539
113	1.040949844
114	1.036966942
115	1.032956229
116	1.029263484
117	1.025711585
118	1.022387826
119	1.018480995
120	1.014726312
121	1.011198978
122	1.007999439
123	1.004818939
124	1.001582665
125	0.9988995999
126	0.9955556371
127	0.9923138573
128	0.9892333235
129	0.9860144354
130	0.9829662341
131	0.9797587437
132	0.9771071936
133	0.9742099391
134	0.9713277171
135	0.968263606
136	0.9653612411
137	0.9626470433
138	0.9597682818
139	0.9570851103
140	0.9543467952
141	0.9517773037
142	0.949457283
