iter	Passed	Remaining
0	21	65319
1	31	47671
2	39	39556
3	45	33820
4	51	30610
5	55	27773
6	60	25825
7	64	24197
8	69	22988
9	73	22049
10	78	21347
11	82	20662
12	87	20110
13	94	20220
14	100	20055
15	105	19586
16	109	19176
17	113	18810
18	117	18480
19	121	18137
20	125	17818
21	129	17518
22	133	17236
23	137	17035
24	141	16818
25	145	16654
26	150	16527
27	154	16409
28	158	16288
29	163	16195
30	168	16091
31	172	16009
32	176	15905
33	181	15804
34	185	15742
35	189	15629
36	194	15551
37	198	15498
38	203	15463
39	207	15349
40	211	15284
41	216	15251
42	222	15307
43	229	15426
44	235	15481
45	242	15588
46	249	15692
47	254	15632
48	259	15605
49	266	15723
50	270	15666
51	280	15896
52	285	15893
53	290	15846
54	298	16000
55	303	15952
56	307	15891
57	312	15831
58	317	15819
59	324	15892
60	332	16036
61	338	16060
62	346	16148
63	350	16096
64	354	16017
65	360	16037
66	365	16007
67	370	15974
68	375	15935
69	380	15905
70	384	15881
71	389	15846
72	394	15805
73	399	15785
74	404	15756
75	408	15734
76	413	15703
77	417	15644
78	421	15602
79	426	15556
80	430	15502
81	434	15479
82	439	15438
83	443	15381
84	447	15340
85	451	15300
86	455	15266
87	460	15234
88	464	15195
89	468	15154
90	472	15113
91	477	15094
92	481	15063
93	486	15027
94	489	14982
95	494	14957
96	498	14927
97	503	14898
98	507	14879
99	512	14868
100	517	14841
101	521	14808
102	525	14784
103	530	14774
104	534	14748
105	538	14714
106	544	14733
107	549	14713
108	553	14688
109	558	14672
110	562	14650
111	567	14622
112	571	14596
113	575	14573
114	579	14546
115	584	14522
116	588	14506
117	592	14471
118	596	14444
119	600	14414
120	605	14402
121	610	14407
122	616	14409
123	620	14391
124	624	14372
125	628	14333
126	632	14307
127	637	14309
128	642	14297
129	646	14281
130	650	14257
131	656	14258
132	660	14244
133	664	14213
134	669	14198
135	673	14188
136	678	14170
137	682	14150
138	686	14132
139	690	14111
140	696	14122
141	700	14108
142	705	14089
143	709	14069
144	713	14045
145	717	14032
146	721	14005
147	726	13992
148	729	13967
149	734	13961
150	739	13945
151	743	13922
152	747	13909
153	752	13900
154	756	13879
155	760	13864
156	764	13846
157	769	13837
158	773	13821
159	777	13797
160	781	13787
161	787	13792
162	792	13789
163	796	13772
164	800	13757
165	804	13740
166	809	13733
167	813	13720
168	817	13702
169	822	13687
170	826	13673
171	830	13658
172	835	13645
173	839	13628
174	844	13625
175	848	13619
176	853	13606
177	857	13596
178	862	13585
179	866	13581
180	871	13578
181	876	13566
182	880	13557
183	885	13547
184	889	13532
185	894	13525
186	898	13515
187	902	13503
188	907	13492
189	911	13479
190	915	13465
191	919	13454
192	924	13443
193	928	13435
194	933	13431
195	938	13420
196	942	13411
197	946	13397
198	950	13379
199	955	13370
200	959	13363
201	963	13344
202	967	13333
203	971	13320
204	976	13317
205	980	13301
206	987	13326
207	999	13416
208	1010	13488
209	1019	13549
210	1029	13613
211	1040	13685
212	1050	13746
213	1062	13825
214	1076	13945
215	1087	14017
216	1097	14078
217	1106	14122
218	1116	14181
219	1126	14229
220	1135	14283
221	1147	14362
222	1160	14449
223	1170	14507
224	1180	14564
225	1196	14690
226	1212	14813
227	1232	14978
228	1245	15065
229	1256	15128
230	1267	15197
231	1285	15337
232	1295	15390
233	1308	15472
234	1321	15543
235	1335	15640
236	1347	15704
237	1356	15738
238	1368	15809
239	1379	15867
240	1389	15907
241	1402	15987
242	1421	16127
243	1443	16303
244	1461	16437
245	1481	16583
246	1497	16685
247	1513	16796
248	1525	16857
249	1537	16915
250	1548	16961
251	1561	17026
252	1573	17081
253	1586	17149
254	1600	17234
255	1613	17296
256	1626	17355
257	1636	17394
258	1648	17444
259	1658	17481
260	1668	17511
261	1678	17538
262	1688	17575
263	1699	17607
264	1710	17649
265	1719	17673
266	1729	17698
267	1739	17735
268	1750	17767
269	1760	17799
270	1770	17825
271	1778	17841
272	1788	17869
273	1799	17899
274	1809	17927
275	1818	17952
276	1829	17987
277	1840	18017
278	1850	18043
279	1860	18069
280	1868	18082
281	1878	18108
282	1888	18132
283	1908	18253
284	1918	18279
285	1928	18302
286	1939	18335
287	1948	18352
288	1959	18380
289	1973	18441
290	1983	18466
291	1994	18492
292	2004	18517
293	2020	18596
294	2030	18619
295	2041	18650
296	2053	18687
297	2063	18712
298	2074	18736
299	2084	18758
300	2094	18778
301	2104	18802
302	2113	18813
303	2124	18836
304	2134	18861
305	2144	18876
306	2154	18894
307	2165	18923
308	2175	18949
309	2186	18971
310	2197	18996
311	2207	19018
312	2218	19045
313	2229	19067
314	2240	19093
315	2249	19107
316	2260	19132
317	2270	19149
318	2280	19168
319	2290	19185
320	2301	19204
321	2310	19212
322	2319	19225
323	2329	19240
324	2340	19266
325	2351	19284
326	2360	19292
327	2370	19314
328	2380	19327
329	2390	19342
330	2399	19352
331	2410	19370
332	2420	19387
333	2432	19412
334	2440	19415
335	2451	19436
336	2461	19452
337	2474	19491
338	2485	19507
339	2496	19531
340	2506	19546
341	2516	19560
342	2526	19573
343	2536	19583
344	2547	19601
345	2557	19616
346	2569	19644
347	2579	19658
348	2590	19678
349	2601	19693
350	2612	19716
351	2622	19731
352	2633	19745
353	2643	19755
354	2653	19767
355	2662	19777
356	2674	19798
357	2684	19814
358	2695	19828
359	2705	19837
360	2714	19845
361	2724	19853
362	2734	19862
363	2744	19877
364	2755	19894
365	2765	19904
366	2776	19921
367	2787	19934
368	2797	19946
369	2806	19949
370	2816	19955
371	2825	19960
372	2835	19971
373	2845	19977
374	2855	19988
375	2865	19998
376	2875	20005
377	2885	20016
378	2896	20028
379	2905	20031
380	2915	20038
381	2926	20054
382	2936	20066
383	2947	20082
384	2958	20093
385	2969	20108
386	2979	20118
387	2990	20129
388	2999	20135
389	3016	20189
390	3026	20194
391	3036	20200
392	3046	20208
393	3056	20218
394	3067	20228
395	3078	20241
396	3088	20249
397	3098	20257
398	3108	20261
399	3117	20265
400	3127	20271
401	3137	20275
402	3146	20276
403	3158	20293
404	3166	20291
405	3176	20297
406	3186	20303
407	3196	20309
408	3207	20322
409	3219	20336
410	3230	20347
411	3240	20356
412	3249	20353
413	3259	20358
414	3269	20365
415	3285	20405
416	3303	20460
417	3312	20464
418	3323	20474
419	3341	20526
420	3358	20572
421	3371	20599
422	3383	20615
423	3397	20638
424	3407	20645
425	3418	20654
426	3433	20686
427	3447	20716
428	3457	20722
429	3467	20727
430	3476	20719
431	3490	20746
432	3500	20752
433	3514	20776
434	3525	20788
435	3536	20798
436	3548	20810
437	3560	20827
